City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
146,Usinsk,RU,2020-05-09 19:42:58,65.99,57.53,42.8,72,100,3.4,overcast clouds,0.0,0.0
147,Nishihara,JP,2020-05-09 19:42:58,26.18,127.76,75.2,94,75,6.93,broken clouds,0.0,0.0
148,Vilhena,BR,2020-05-09 19:39:03,-12.74,-60.15,78.8,69,40,6.93,scattered clouds,0.0,0.0
149,Esperance,AU,2020-05-09 19:42:58,-33.87,121.9,48.2,93,0,10.29,clear sky,0.0,0.0
150,Dongsheng,CN,2020-05-09 19:42:59,39.82,109.98,45.34,48,0,16.98,clear sky,0.0,0.0
151,Cedar City,US,2020-05-09 19:42:59,37.68,-113.06,71.6,14,1,3.36,clear sky,0.0,0.0
152,Tiksi,RU,2020-05-09 19:42:59,71.69,128.87,15.62,94,0,5.01,clear sky,0.0,0.0
153,Havelock,US,2020-05-09 19:42:59,34.88,-76.9,62.6,29,1,8.05,clear sky,0.0,0.0
154,Itarema,BR,2020-05-09 19:43:00,-2.92,-39.92,80.4,85,70,7.76,light rain,0.0,0.0
155,Maues,BR,2020-05-09 19:42:45,-3.38,-57.72,82.42,90,100,0.67,moderate rain,0.0,0.0
156,Baishishan,CN,2020-05-09 19:43:00,43.58,127.57,50.79,91,100,1.05,overcast clouds,0.0,0.0
157,Ludvika,SE,2020-05-09 19:43:00,60.15,15.19,53.6,62,19,4.7,few clouds,0.0,0.0
158,Portland,US,2020-05-09 19:43:00,45.52,-122.68,84.0,26,75,23.04,broken clouds,0.0,0.0
159,Pisco,PE,2020-05-09 19:43:01,-13.7,-76.22,73.4,69,12,6.93,few clouds,0.0,0.0
160,Jalu,LY,2020-05-09 19:43:01,29.03,21.55,72.07,20,83,7.67,broken clouds,0.0,0.0
161,Saint-Pierre,RE,2020-05-09 19:43:02,-21.34,55.48,71.6,78,20,5.82,few clouds,0.0,0.0
162,Vanimo,PG,2020-05-09 19:43:02,-2.67,141.3,78.51,86,19,4.0,few clouds,0.0,0.0
163,Maragogi,BR,2020-05-09 19:43:02,-9.01,-35.22,78.44,80,75,6.69,broken clouds,0.0,0.0
164,Hobart,AU,2020-05-09 19:40:11,-42.88,147.33,45.0,75,40,3.36,scattered clouds,0.0,0.0
165,Avarua,CK,2020-05-09 19:43:02,-21.21,-159.78,80.6,83,6,13.87,clear sky,0.0,0.0
166,Fairbanks,US,2020-05-09 19:38:53,64.84,-147.72,64.0,35,1,4.7,clear sky,0.0,0.0
167,Fallon,US,2020-05-09 19:43:03,39.47,-118.78,79.0,11,1,3.36,clear sky,0.0,0.0
168,Kotido,UG,2020-05-09 19:43:03,2.98,34.13,71.89,72,100,7.4,overcast clouds,0.0,0.0
169,Pestyaki,RU,2020-05-09 19:43:03,56.71,42.67,51.66,94,99,8.68,overcast clouds,0.0,0.0
170,Nushki,PK,2020-05-09 19:43:04,29.55,66.02,80.53,15,36,6.53,scattered clouds,0.0,0.0
171,Souillac,MU,2020-05-09 19:43:04,-20.52,57.52,75.2,83,75,9.17,shower rain,0.0,0.0
172,Newton,US,2020-05-09 19:38:06,42.34,-71.21,46.0,35,98,24.16,overcast clouds,0.0,0.0
173,Haines Junction,CA,2020-05-09 19:43:04,60.75,-137.51,61.59,41,64,1.9,broken clouds,0.0,0.0
174,Longyearbyen,SJ,2020-05-09 19:43:05,78.22,15.64,19.4,57,40,17.22,scattered clouds,0.0,0.0
175,Sladkovo,RU,2020-05-09 19:43:05,55.53,70.34,57.85,44,0,8.3,clear sky,0.0,0.0
176,Ornskoldsvik,SE,2020-05-09 19:43:05,63.29,18.72,39.2,55,100,10.29,light snow,0.0,0.0
177,Dryden,CA,2020-05-09 19:43:05,49.78,-92.75,42.8,38,20,10.29,few clouds,0.0,0.0
178,Beringovskiy,RU,2020-05-09 19:43:06,63.05,179.32,32.4,97,100,36.84,snow,0.0,0.0
179,Novo Aripuana,BR,2020-05-09 19:43:06,-5.12,-60.38,86.81,65,93,2.21,overcast clouds,0.0,0.0
180,Tahoua,NE,2020-05-09 19:43:06,14.89,5.27,91.69,18,6,4.68,clear sky,0.0,0.0
181,Cabra,ES,2020-05-09 19:43:07,37.47,-4.44,64.0,60,76,4.0,broken clouds,0.0,0.0
182,Nuevo Laredo,MX,2020-05-09 19:43:07,27.48,-99.52,78.8,50,40,5.82,scattered clouds,0.0,0.0
